Condition;Pair number;ID;Determiner;N0;Verb;Determiner;N1;Preposition;Determiner;Adjective;N2;Attachment (verb attached - VA, noun attached - NA;Unambiguous?;Verb_number
1;51;151;Die;Kundin;verÌ_rgert;die;Kellnerin;mit;den;unhÌ¦flichen;Manieren;VA;0;129
1;72;172;Die;Politikerin;verÌ_rgert;den;Taxifahrer;mit;der;dreisten;Art;VA;0;129
2;51;251;Der;Punk;verblÌ_fft;den;Schaffner;mit;den;grÌ_nen;Haaren;VA;0;130
2;51;251;Der;Schaffner;verblÌ_fft;den;Punk;mit;den;grÌ_nen;Haaren;NA;0;130
2;53;253;Der;Magier;verflucht;den;Bauer;mit;dem;magischen;Trank;VA;0;131
2;53;253;Der;Bauer;verflucht;den;Magier;mit;dem;magischen;Trank;NA;0;131
1;41;141;Die;Kanzlerin;verfolgt;ein;GesprÌ_ch;mit;den;japanischen;Diplomaten;NA;0;132
1;78;178;Die;Regierung;verfolgt;einen;Dialog;mit;dem;iranischen;Minister;NA;0;132
2;57;257;Der;JÌ_ger;verfolgt;den;Adler;mit;der;rostigen;Flinte;VA;0;133
2;57;257;Der;Adler;verfolgt;den;JÌ_ger;mit;der;rostigen;Flinte;NA;0;133
1;43;143;Der;Kiosk;vergleicht;die;Zeitschrift;mit;dem;aktuellen;Sonderheft;VA;0;134
1;59;159;Der;Makler;vergleicht;das;Angebot;mit;den;edlen;Immobilien;VA;0;134
1;43;143;Der;Kiosk;verkauft;die;Zeitschrift;mit;dem;aktuellen;Sonderheft;NA;0;135
1;59;159;Der;Makler;verkauft;das;Angebot;mit;den;edlen;Immobilien;NA;1;135
1;22;122;Die;Dichterin;verleiht;ihr ;Werk;mit;dem;provokanten;Titel;NA;1;136
1;81;181;Die;SÌ_ngerin;verleiht;ihre;Platte;mit;einem;klassischen;Wagner;NA;1;136
2;34;234;Die;Raubkatze;verletzt;die;Antilope;mit;den;scharfen;Krallen;VA;0;137
2;34;234;Die;Antilope;verletzt;die;Raubkatze;mit;den;scharfen;Krallen;NA;0;137
1;70;170;Die;Piraten;verlieren;das;Territorium;mit;den;alten;Schiffen;NA;0;138
1;45;145;Der;Kommandeur;verliert;die;Festung;mit;seiner;mÌ_chtigsten;Armee;NA;0;138
1;9;19;Der;Beamte;vermerkt;die;AktivitÌ_ten;mit;seinen;chaotischen;Assistenten;NA;0;139
1;15;115;Der;Leiter;vermerkt;die;Projekte;mit;seinen;geschÌ_tzten;Kollegen;NA;0;139
1;30;130;Die;Friseurin;vermisst;das;Haus;mit;ihren;betagten;Eltern;NA;0;140
1;58;158;Die;LÌ¦win;vermisst;die;Oase;mit;ihren;zahlreichen;Artgenossen;NA;0;140
1;38;138;Der;Ingenieur;verpackt;die;Kette;mit;dem;klebrigen;ÌĞl;NA;1;141
1;75;175;Die;Praktikant;verpackt;das;Brot;mit;der;organischen;Butter;NA;1;141
1;80;180;Der;Rennfahrer;verpfeift;die;Konkurrenz;mit;dem;getunten;Ferrari;NA;1;142
1;90;190;Das;Team;verpfeift;den;Gegner;mit;dem;letzten;Punkt;NA;1;142
1;1;11;Der;Akrobat;verprÌ_gelt;den;Clown;mit;dem;elastischen;Hammer;VA;0;143
1;65;165;Die;Alte;verprÌ_gelt;den;Einbrecher;mit;ihrer;ledernen;Handtasche;VA;0;143
1;21;121;Der;Detektiv;verriegelt;die;Truhe;mit;dem;rostigen;Schloss;VA;0;144
1;62;162;Die;Nachbarin;verriegelt;den;Schrank;mit;dem;goldenen;SchlÌ_ssel;VA;0;144
1;19;119;Die;Cousine;verschenkt;die;Reifen;mit;dem ;feinen;Flickzeug;NA;0;145
1;36;136;Der;HÌ_ndler;verschenkt;die;Heizungen;mit;dem;prÌ_zisen;Thermostat;NA;0;145
1;17;117;Der;Chemiker;verschlieÌÙt;den;Flakon;mit;dem;praktischen;Pumpspender;VA;0;146
1;37;137;Der;Hersteller;verschlieÌÙt;die;Flaschen;mit;einem;glÌ_sernen;Korken;VA;0;146
1;26;126;Die;Familie;versieht;den;Brief;mit;der;hÌ¦flichen;Beschwerde;VA;0;147
1;94;194;Das;Unternehmen;versieht;das;Schreiben;mit;einem;wichtigen;Hinweis;VA;0;147
1;47;147;Die;Konzerne;versorgen;die;Einwohner;mit;einem;primÌ_ren;Anschluss;VA;0;148
1;10;110;Die;BehÌ¦rde;versorgt;den;Patienten;mit;einem;kÌ_nstlichen;Katheter;VA;0;148
1;24;124;Die;Entwickler;verspotten;die;Programme;mit;der;teuren;Software;NA;0;149
1;4;14;Der;Architekt;verspottet;das;Modell;mit;der;verstaubten;Technik;NA;0;149
1;73;173;Der;Polizist;verstÌ_ndigt;seinen;Kollegen;mit;dem;anonymen;Telefon;VA;0;150
1;99;199;Die;Zentrale;verstÌ_ndigt;das;Flugzeug;mit;dem;digitalen;FunkgerÌ_t;VA;0;150
1;7;17;Die;Barfrau;verteilt;den;Gin;mit;dem;kalten;Tonic;NA;0;151
1;64;164;Der;Ober;verteilt;das;Sprudel;mit;dem;trÌ_bem;Apfelsaft;NA;0;151
2;6;26;Die;Putzfrau;vertreibt;die;Ziege;mit;dem;alten;Besen;VA;0;152
2;6;26;Die;Ziege;vertreibt;die;Putzfrau;mit;dem;alten;Besen;NA;0;152
1;8;18;Die;Bassistin;verziert;ihr;Shirt;mit;dem;grauen;Muster;VA;0;153
1;52;152;Die;KÌ_nstlerin;verziert;das;Geschirr;mit;den;blauen;Punkten;VA;0;153
1;8;18;Die;Bassistin;wÌ_scht;ihr;Shirt;mit;dem;grauen;Muster;NA;1;154
1;52;152;Die;KÌ_nstlerin;wÌ_scht;das;Geschirr;mit;den;blauen;Punkten;NA;1;154
1;68;168;Die;Pfadfinder;wÌ_ssern;die;Kakteen;mit;den;dÌ_nnen;Pipetten;VA;0;155
1;56;156;Die;Lehrerin;wÌ_ssert;die;Pflanze;mit;der;grÌ_nen;GieÌÙkanne;VA;0;155
1;16;116;Die;Chefin;wÌ_rdigt;den;Mitarbeiter;mit;der;faltbaren;Karte;VA;0;156
1;63;163;Die;Nichte;wÌ_rdigt;die;Patentante;mit;der;riesigen;Torte;VA;0;156
1;14;114;Der;Camper;wÌ_rzt;die;Suppe;mit;der;frischen;Petersilie;VA;0;157
1;44;144;Der;Koch;wÌ_rzt;den;Salat;mit;den;lokalen;KrÌ_utern;VA;0;157
2;21;221;Der;Fan;winkt;dem;SÌ_nger;mit;der;akustischen;Gitarre;NA;0;158
2;21;221;Der;SÌ_nger;winkt;dem;Fan;mit;der;akustischen;Gitarre;VA;0;158
1;47;147;Die;Konzerne;zÌ_hlen;die;Einwohner;mit;einem;primÌ_ren;Anschluss;NA;1;159
1;87;187;Der;Staat;zÌ_hlt;die;Haushalte;mit;einem;robusten;Stromnetz;NA;0;159
1;82;182;Die;SchÌ_lerin;zeigt;die;Klausur;mit;nur;wenigen;Fehlern;NA;0;160
1;84;184;Der;SekretÌ_r;zeigt;das;Protokoll;mit;der;schÌ¦nen;Handschrift;NA;0;160
2;29;229;Die;Taucherin;zwickt;die;Krabbe;mit;den;roten;Scheren;NA;0;161
2;29;229;Die;Krabbe;zwickt;die;Taucherin;mit;den;roten;Scheren;VA;0;161
