Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
2,43,243,Der,Pinguin,überholt,den,Vogelstrauß,mit,den,langen,Beinen,NA,0
2,44,244,Der,Butler,erwartet,seinen,Chef,mit,der,gesamten,Belegschaft,VA,0
2,44,244,Der,Chef,erwartet,seinen,Butler,mit,der,gesamten,Belegschaft,NA,0
2,45,245,Der,Milliardär,begegnet,dem,Bauarbeiter,mit,dem,teuren,Cabrio,VA,0
2,45,245,Der,Bauarbeiter,begegnet,dem,Milliardär,mit,dem,teuren,Cabrio,NA,0
2,46,246,Die,Küstenwache,findet,die,Schwimmerin,mit,dem,schnellen,Motorboot,VA,0
2,46,246,Die,Schwimmerin,findet,die,Küstenwache,mit,dem,schnellen,Motorboot,NA,0
2,47,247,Die,Diebe,treffen,die,Ermittler,mit,dem,gestohlenen,Auto,VA,0
2,47,247,Die,Ermittler,treffen,die,Diebe,mit,dem,gestohlenen,Auto,NA,0
2,48,248,Der,Besuch,dankt,dem,Gastgeber,mit,den,schönen,Blumen,VA,0
2,48,248,Der,Gastgeber,dankt,dem,Besuch,mit,den,schönen,Blumen,NA,0
2,49,249,Der,Landwirt,belohnt,den,Gaul,mit,dem,zahmen,Verhalten,NA,0
2,49,249,Der,Gaul,belohnt,den,Landwirt,mit,dem,zahmen,Verhalten,VA,0
2,50,250,Der,Fußballer,nervt,den,Schiri,mit,der,schwarzen,Pfeife,NA,0
2,50,250,Der,Schiri,nervt,den,Fußballer,mit,der,schwarzen,Pfeife,VA,0
2,51,251,Der,Punk,verblüfft,den,Schaffner,mit,den,grünen,Haaren,VA,0
2,51,251,Der,Schaffner,verblüfft,den,Punk,mit,den,grünen,Haaren,NA,0
2,52,252,Die,Trainerin,hilft,der,Mannschaft,mit,den,cleveren,Spielzügen,VA,0
2,52,252,Die,Mannschaft,hilft,der,Trainerin,mit,den,cleveren,Spielzügen,NA,0
2,53,253,Der,Magier,verflucht,den,Bauer,mit,dem,magischen,Trank,VA,0
2,53,253,Der,Bauer,verflucht,den,Magier,mit,dem,magischen,Trank,NA,0
2,54,254,Der,Küchenjunge,erwischt,den,Manager,mit,der,fettigen,Bratpfanne,VA,0
2,54,254,Der,Manager,erwischt,den,Küchenjunge,mit,der,fettigen,Bratpfanne,NA,0
2,55,255,Der,Torero,provoziert,den,Stier,mit,dem,roten,Tuch,VA,0
2,55,255,Der,Stier,provoziert,den,Torero,mit,dem,vollen,Wagen,NA,0
2,56,256,Der,Abenteurer,fasziniert,den,Ureinwohner,mit,der,modernen,Ausrüstung,VA,0
2,56,256,Der,Ureinwohner,fasziniert,den,Abenteurer,mit,der,modernen,Ausrüstung,NA,0
2,57,257,Der,Jäger,verfolgt,den,Adler,mit,der,rostigen,Flinte,VA,0
2,57,257,Der,Adler,verfolgt,den,Jäger,mit,der,rostigen,Flinte,NA,0
2,58,258,Die,Studentin,entzückt,die,Lerngruppe,mit,dem,fröhlichen,Gemüt,VA,0
2,58,258,Die,Lerngruppe,entzückt,die,Studentin,mit,dem,fröhlichen,Gemüt,NA,0
2,59,259,Der,Logistiker,blockiert,den,Türsteher,mit,den,mobilen,Containern,VA,0
2,59,259,Der,Türsteher,blockiert,den,Logistiker,mit,den,mobilen,Containern,NA,0
2,60,260,Der,Kassierer,erreicht,den,Käufer,mit,dem,vollen,Wagen,NA,0
2,60,260,Der,Käufer,erreicht,den,Kassierer,mit,dem,vollen,Wagen,VA,0
2,61,261,Der,Käfer,lockt,den,Specht,mit,dem,glänzenden,Panzer,VA,0
2,61,261,Der,Specht,lockt,den,Käfer,mit,dem,glänzenden,Panzer,NA,0
